agency_name,agency_slug,cfr_citation,parent_agency,active,document_count,query_successful,error_message,last_updated
Consumer Product Safety Commission,consumer-product-safety-commission,49 CFR,Consumer Product Safety Commission,True,64,True,,2025-08-07T15:17:21.097003
"Cooperative State Research, Education, and Extension Service",cooperative-state-research-education-and-extension-service,40 CFR,"Cooperative State Research, Education, and Extension Service",True,64,True,,2025-08-07T15:17:21.097006
Corporation for National and Community Service,corporation-for-national-and-community-service,40 CFR,Corporation for National and Community Service,False,64,True,,2025-08-07T15:17:21.097010
Council on Environmental Quality,council-on-environmental-quality,40 CFR,Council on Environmental Quality,True,64,True,,2025-08-07T15:17:21.097014
Counsel to the President,counsel-to-the-president,12 CFR,Counsel to the President,True,4,True,,2025-08-07T15:17:21.097018
Court Services and Offender Supervision Agency for the District of Columbia,court-services-and-offender-supervision-agency-for-the-district-of-columbia,29 CFR,Court Services and Offender Supervision Agency for the District of Columbia,True,64,True,,2025-08-07T15:17:21.097021
Defense Contract Audit Agency,defense-contract-audit-agency,12 CFR,Defense Department,True,49,True,,2025-08-07T15:17:21.097025
Defense Logistics Agency,defense-logistics-agency,21 CFR,Defense Department,True,64,True,,2025-08-07T15:17:21.097028
Defense Nuclear Facilities Safety Board,defense-nuclear-facilities-safety-board,10 CFR,Defense Department,True,64,True,,2025-08-07T15:17:21.097033
Disability Employment Policy Office,disability-employment-policy-office,29 CFR,Disability Employment Policy Office,True,64,True,,2025-08-07T15:17:21.097037
Drug Enforcement Administration,drug-enforcement-administration,12 CFR,Drug Enforcement Administration,True,64,True,,2025-08-07T15:17:21.097040
Economic Analysis Bureau,economic-analysis-bureau,17 CFR,Economic Analysis Bureau,True,64,True,,2025-08-07T15:17:21.097044
Economic Analysis Staff,economic-analysis-staff,7 CFR,Economic Analysis Staff,True,7,True,,2025-08-07T15:17:21.097047
Economic Development Administration,economic-development-administration,17 CFR,Economic Development Administration,True,64,True,,2025-08-07T15:17:21.097051
Economic Research Service,economic-research-service,40 CFR,Economic Research Service,True,64,True,,2025-08-07T15:17:21.097055
Education Department,education-department,34 CFR,Education Department,True,64,True,,2025-08-07T15:17:21.097058
Election Assistance Commission,election-assistance-commission,29 CFR,Election Assistance Commission,True,64,True,,2025-08-07T15:17:21.097062
Emergency Oil and Gas Guaranteed Loan Board,emergency-oil-and-gas-guaranteed-loan-board,12 CFR,Emergency Oil and Gas Guaranteed Loan Board,True,31,True,,2025-08-07T15:17:21.097066
Emergency Steel Guarantee Loan Board,emergency-steel-guarantee-loan-board,12 CFR,Emergency Steel Guarantee Loan Board,True,43,True,,2025-08-07T15:17:21.097070
Employee Benefits Security Administration,employee-benefits-security-administration,29 CFR,Employee Benefits Security Administration,True,64,True,,2025-08-07T15:17:21.097074
Employees Compensation Appeals Board,employees-compensation-appeals-board,29 CFR,Employees Compensation Appeals Board,True,19,True,,2025-08-07T15:17:21.097079
Employment and Training Administration,employment-and-training-administration,10 CFR,Employment and Training Administration,True,64,True,,2025-08-07T15:17:21.097082
Employment Standards Administration,employment-standards-administration,29 CFR,Employment Standards Administration,True,64,True,,2025-08-07T15:17:21.097086
Energy and Environmental Policy Office,energy-and-environmental-policy-office,40 CFR,Energy Department,True,4,True,,2025-08-07T15:17:21.097090
Energy Department,energy-department,40 CFR,Energy Department,True,64,True,,2025-08-07T15:17:21.097093
Energy Efficiency and Renewable Energy Office,energy-efficiency-and-renewable-energy-office,12 CFR,Energy Department,True,64,True,,2025-08-07T15:17:21.097097
Energy Information Administration,energy-information-administration,40 CFR,Energy Department,True,64,True,,2025-08-07T15:17:21.097101
Energy Policy and New Uses Office,energy-policy-and-new-uses-office,10 CFR,Energy Department,True,4,True,,2025-08-07T15:17:21.097104
Engineers Corps,engineers-corps,40 CFR,Engineers Corps,True,64,True,,2025-08-07T15:17:21.097108
Engraving and Printing Bureau,engraving-and-printing-bureau,12 CFR,Engraving and Printing Bureau,True,64,True,,2025-08-07T15:17:21.097111
"Environment Office, Energy Department",environment-office-energy-department,40 CFR,"Environment Office, Energy Department",True,7,True,,2025-08-07T15:17:21.097115
Environmental Protection Agency,environmental-protection-agency,40 CFR,Environmental Protection Agency,True,64,True,,2025-08-07T15:17:21.097118
Equal Employment Opportunity Commission,equal-employment-opportunity-commission,29 CFR,Equal Employment Opportunity Commission,True,64,True,,2025-08-07T15:17:21.097125
Family Assistance Office,family-assistance-office,21 CFR,Family Assistance Office,False,4,True,,2025-08-07T15:17:21.097129
Farm Credit Administration,farm-credit-administration,12 CFR,Farm Credit Administration,True,64,True,,2025-08-07T15:17:21.097133
Farm Credit System Insurance Corporation,farm-credit-system-insurance-corporation,12 CFR,Farm Credit System Insurance Corporation,True,64,True,,2025-08-07T15:17:21.097137
Farm Production and Conservation Business Center,farm-production-and-conservation-business-center,7 CFR,Farm Production and Conservation Business Center,True,10,True,,2025-08-07T15:17:21.097141
Farm Service Agency,farm-service-agency,7 CFR,Farm Service Agency,True,64,True,,2025-08-07T15:17:21.097144
Federal Accounting Standards Advisory Board,federal-accounting-standards-advisory-board,12 CFR,Federal Accounting Standards Advisory Board,True,64,True,,2025-08-07T15:17:21.097147
Federal Aviation Administration,federal-aviation-administration,14 CFR,Federal Aviation Administration,False,64,True,,2025-08-07T15:17:21.097151
Federal Bureau of Investigation,federal-bureau-of-investigation,12 CFR,Federal Bureau of Investigation,True,64,True,,2025-08-07T15:17:21.097154
Federal Contract Compliance Programs Office,federal-contract-compliance-programs-office,29 CFR,Federal Contract Compliance Programs Office,True,64,True,,2025-08-07T15:17:21.097158
Federal Council on the Arts and the Humanities,federal-council-on-the-arts-and-the-humanities,49 CFR,Federal Council on the Arts and the Humanities,True,64,True,,2025-08-07T15:17:21.097162
Federal Crop Insurance Corporation,federal-crop-insurance-corporation,7 CFR,Federal Crop Insurance Corporation,True,0,False,"Request failed: HTTPSConnectionPool(host='www.federalregister.gov', port=443): Read timed out. (read timeout=30)",2025-08-07T15:17:21.097166
Federal Deposit Insurance Corporation,federal-deposit-insurance-corporation,12 CFR,Federal Deposit Insurance Corporation,True,64,True,,2025-08-07T15:17:21.097171
Federal Energy Regulatory Commission,federal-energy-regulatory-commission,49 CFR,Energy Department,True,64,True,,2025-08-07T15:17:21.097401
Federal Financial Institutions Examination Council,federal-financial-institutions-examination-council,12 CFR,Federal Financial Institutions Examination Council,False,64,True,,2025-08-07T15:17:21.097406
Federal Highway Administration,federal-highway-administration,49 CFR,Federal Highway Administration,True,64,True,,2025-08-07T15:17:21.097410
Federal Housing Enterprise Oversight Office,federal-housing-enterprise-oversight-office,12 CFR,Federal Housing Enterprise Oversight Office,True,64,True,,2025-08-07T15:17:21.097413
Federal Housing Finance Agency,federal-housing-finance-agency,10 CFR,Federal Housing Finance Agency,False,64,True,,2025-08-07T15:17:21.097417
Federal Housing Finance Board,federal-housing-finance-board,12 CFR,Federal Housing Finance Board,True,64,True,,2025-08-07T15:17:21.097420
Federal Labor Relations Authority,federal-labor-relations-authority,29 CFR,Federal Labor Relations Authority,True,64,True,,2025-08-07T15:17:21.097424
Federal Mediation and Conciliation Service,federal-mediation-and-conciliation-service,29 CFR,Federal Mediation and Conciliation Service,True,64,True,,2025-08-07T15:17:21.097427
Federal Mine Safety and Health Review Commission,federal-mine-safety-and-health-review-commission,29 CFR,Health and Human Services Department,True,64,True,,2025-08-07T15:17:21.097431
Federal Motor Carrier Safety Administration,federal-motor-carrier-safety-administration,49 CFR,Federal Motor Carrier Safety Administration,False,64,True,,2025-08-07T15:17:21.097434
"Federal Pay, Advisory Committee",federal-pay-advisory-committee,29 CFR,"Federal Pay, Advisory Committee",True,24,True,,2025-08-07T15:17:21.097438
Federal Permitting Improvement Steering Council,federal-permitting-improvement-steering-council,49 CFR,Federal Permitting Improvement Steering Council,True,37,True,,2025-08-07T15:17:21.097441
Federal Prison Industries,federal-prison-industries,29 CFR,Federal Prison Industries,True,13,True,,2025-08-07T15:17:21.097444
Federal Procurement Policy Office,federal-procurement-policy-office,10 CFR,Federal Procurement Policy Office,True,64,True,,2025-08-07T15:17:21.097448
Federal Railroad Administration,federal-railroad-administration,12 CFR,Federal Railroad Administration,True,64,True,,2025-08-07T15:17:21.097451
Federal Reserve System,federal-reserve-system,12 CFR,Federal Reserve System,True,64,True,,2025-08-07T15:17:21.097455
Federal Retirement Thrift Investment Board,federal-retirement-thrift-investment-board,17 CFR,Federal Retirement Thrift Investment Board,True,64,True,,2025-08-07T15:17:21.097458
Federal Service Impasses Panel,federal-service-impasses-panel,29 CFR,Federal Service Impasses Panel,True,16,True,,2025-08-07T15:17:21.097461
Federal Transit Administration,federal-transit-administration,12 CFR,Federal Transit Administration,False,64,True,,2025-08-07T15:17:21.097465
Financial Crimes Enforcement Network,financial-crimes-enforcement-network,12 CFR,Financial Crimes Enforcement Network,True,64,True,,2025-08-07T15:17:21.097470
Financial Crisis Inquiry Commission,financial-crisis-inquiry-commission,12 CFR,Financial Crisis Inquiry Commission,True,19,True,,2025-08-07T15:17:21.097474
Financial Research Office,financial-research-office,12 CFR,Financial Research Office,True,19,True,,2025-08-07T15:17:21.097478
Financial Stability Oversight Council,financial-stability-oversight-council,12 CFR,Financial Stability Oversight Council,True,64,True,,2025-08-07T15:17:21.097482
Fish and Wildlife Service,fish-and-wildlife-service,21 CFR,Fish and Wildlife Service,True,64,True,,2025-08-07T15:17:21.097485
Food and Consumer Service,food-and-consumer-service,21 CFR,Food and Consumer Service,False,64,True,,2025-08-07T15:17:21.097488
Food and Drug Administration,food-and-drug-administration,21 CFR,Food and Drug Administration,True,64,True,,2025-08-07T15:17:21.097493
Food and Nutrition Service,food-and-nutrition-service,21 CFR,Food and Nutrition Service,True,1479,True,,2025-08-07T15:17:21.097497
Food Safety and Inspection Service,food-safety-and-inspection-service,21 CFR,Food Safety and Inspection Service,True,64,True,,2025-08-07T15:17:21.097502
Foreign Agricultural Service,foreign-agricultural-service,21 CFR,Foreign Agricultural Service,True,64,True,,2025-08-07T15:17:21.097505
Foreign Assets Control Office,foreign-assets-control-office,10 CFR,Foreign Assets Control Office,True,64,True,,2025-08-07T15:17:21.097508
Foreign Service Impasse Disputes Panel,foreign-service-impasse-disputes-panel,29 CFR,Foreign Service Impasse Disputes Panel,True,4,True,,2025-08-07T15:17:21.097513
Foreign Service Labor Relations Board,foreign-service-labor-relations-board,29 CFR,Foreign Service Labor Relations Board,True,4,True,,2025-08-07T15:17:21.097516
Forest Service,forest-service,21 CFR,Forest Service,True,64,True,,2025-08-07T15:17:21.097520
General Services Administration,general-services-administration,49 CFR,General Services Administration,True,64,True,,2025-08-07T15:17:21.097523
Geological Survey,geological-survey,40 CFR,Geological Survey,True,64,True,,2025-08-07T15:17:21.097526
Government National Mortgage Association,government-national-mortgage-association,17 CFR,Government National Mortgage Association,True,16,True,,2025-08-07T15:17:21.097530
"Grain Inspection, Packers and Stockyards Administration",grain-inspection-packers-and-stockyards-administration,40 CFR,"Grain Inspection, Packers and Stockyards Administration",True,64,True,,2025-08-07T15:17:21.097533
Great Lakes St. Lawrence Seaway Development Corporation,great-lakes-st-lawrence-seaway-development-corporation,49 CFR,Great Lakes St. Lawrence Seaway Development Corporation,False,64,True,,2025-08-07T15:17:21.097536
Harry S. Truman Scholarship Foundation,harry-s-truman-scholarship-foundation,12 CFR,Harry S. Truman Scholarship Foundation,True,64,True,,2025-08-07T15:17:21.097541
Health and Human Services Department,health-and-human-services-department,21 CFR,Health and Human Services Department,True,64,True,,2025-08-07T15:17:21.097545
Health Care Finance Administration,health-care-finance-administration,21 CFR,Health and Human Services Department,True,64,True,,2025-08-07T15:17:21.097549
Health Resources and Services Administration,health-resources-and-services-administration,12 CFR,Health and Human Services Department,True,64,True,,2025-08-07T15:17:21.097552
"Hearings and Appeals Office, Energy Department",hearings-and-appeals-office-energy-department,10 CFR,"Hearings and Appeals Office, Energy Department",True,4,True,,2025-08-07T15:17:21.097555
Immigration and Naturalization Service,immigration-and-naturalization-service,29 CFR,Immigration and Naturalization Service,False,64,True,,2025-08-07T15:17:21.097559
Indian Health Service,indian-health-service,21 CFR,Health and Human Services Department,True,64,True,,2025-08-07T15:17:21.097562
"Inspector General Office, Health and Human Services Department",inspector-general-office-health-and-human-services-department,21 CFR,"Inspector General Office, Health and Human Services Department",True,4,True,,2025-08-07T15:17:21.097565
Interagency Floodplain Management Review Committee,interagency-floodplain-management-review-committee,40 CFR,Interagency Floodplain Management Review Committee,True,7,True,,2025-08-07T15:17:21.097568
Interior Department,interior-department,12 CFR,Interior Department,False,64,True,,2025-08-07T15:17:21.097571
International Development Cooperation Agency,international-development-cooperation-agency,17 CFR,International Development Cooperation Agency,False,64,True,,2025-08-07T15:17:21.097575
International Development Finance Corporation,international-development-finance-corporation,12 CFR,International Development Finance Corporation,True,3,True,,2025-08-07T15:17:21.097579
International Investment Office,international-investment-office,17 CFR,International Investment Office,True,22,True,,2025-08-07T15:17:21.097582
International Joint Commission-United States and Canada,international-joint-commission-united-states-and-canada,40 CFR,International Joint Commission-United States and Canada,True,4,True,,2025-08-07T15:17:21.097585
International Organizations Employees Loyalty Board,international-organizations-employees-loyalty-board,29 CFR,International Organizations Employees Loyalty Board,True,4,True,,2025-08-07T15:17:21.097588
International Trade Administration,international-trade-administration,17 CFR,International Trade Administration,True,64,True,,2025-08-07T15:17:21.097591
Interstate Commerce Commission,interstate-commerce-commission,49 CFR,Commerce Department,False,64,True,,2025-08-07T15:17:21.097595
Investment Security Office,investment-security-office,17 CFR,Investment Security Office,True,64,True,,2025-08-07T15:17:21.097598
James Madison Memorial Fellowship Foundation,james-madison-memorial-fellowship-foundation,34 CFR,James Madison Memorial Fellowship Foundation,True,28,True,,2025-08-07T15:17:21.097601
Japan-United States Friendship Commission,japan-united-states-friendship-commission,17 CFR,Japan-United States Friendship Commission,True,7,True,,2025-08-07T15:17:21.097604
Joint Board for Enrollment of Actuaries,joint-board-for-enrollment-of-actuaries,29 CFR,Joint Board for Enrollment of Actuaries,True,64,True,,2025-08-07T15:17:21.097608
Justice Department,justice-department,21 CFR,Justice Department,True,64,True,,2025-08-07T15:17:21.097611
Labor Department,labor-department,29 CFR,Labor Department,True,64,True,,2025-08-07T15:17:21.097615
Labor Statistics Bureau,labor-statistics-bureau,29 CFR,Labor Statistics Bureau,False,64,True,,2025-08-07T15:17:21.097618
Labor-Management Standards Office,labor-management-standards-office,29 CFR,Labor-Management Standards Office,False,64,True,,2025-08-07T15:17:21.097621
Local Television Loan Guarantee Board,local-television-loan-guarantee-board,7 CFR,Local Television Loan Guarantee Board,False,19,True,,2025-08-07T15:17:21.097624
Maritime Administration,maritime-administration,49 CFR,Maritime Administration,True,64,True,,2025-08-07T15:17:21.097627
Medicare Payment Advisory Commission,medicare-payment-advisory-commission,21 CFR,Medicare Payment Advisory Commission,True,64,True,,2025-08-07T15:17:21.097630
Merit Systems Protection Board,merit-systems-protection-board,29 CFR,Merit Systems Protection Board,True,64,True,,2025-08-07T15:17:21.097634
Millennium Challenge Corporation,millennium-challenge-corporation,17 CFR,Millennium Challenge Corporation,True,64,True,,2025-08-07T15:17:21.097638
Mine Safety and Health Administration,mine-safety-and-health-administration,21 CFR,Health and Human Services Department,True,64,True,,2025-08-07T15:17:21.097663
Minerals Management Service,minerals-management-service,40 CFR,Minerals Management Service,True,64,True,,2025-08-07T15:17:21.097666
Mines Bureau,mines-bureau,40 CFR,Mines Bureau,False,64,True,,2025-08-07T15:17:21.097670
Minority Economic Impact Office,minority-economic-impact-office,10 CFR,Minority Economic Impact Office,True,4,True,,2025-08-07T15:17:21.097674
Mississippi River Commission,mississippi-river-commission,40 CFR,Mississippi River Commission,False,64,True,,2025-08-07T15:17:21.097677
Morris K. Udall and Stewart L. Udall Foundation,morris-k-udall-and-stewart-l-udall-foundation,40 CFR,Morris K. Udall and Stewart L. Udall Foundation,True,64,True,,2025-08-07T15:17:21.097681
National Agricultural Library,national-agricultural-library,21 CFR,National Agricultural Library,True,64,True,,2025-08-07T15:17:21.097684
National Agricultural Statistics Service,national-agricultural-statistics-service,29 CFR,National Agricultural Statistics Service,True,64,True,,2025-08-07T15:17:21.097687
National Assessment Governing Board,national-assessment-governing-board,34 CFR,National Assessment Governing Board,True,64,True,,2025-08-07T15:17:21.097690
National Bipartisan Commission on Future of Medicare,national-bipartisan-commission-on-future-of-medicare,21 CFR,National Bipartisan Commission on Future of Medicare,True,43,True,,2025-08-07T15:17:21.097694
National Civilian Community Corps,national-civilian-community-corps,34 CFR,National Civilian Community Corps,True,13,True,,2025-08-07T15:17:21.097698
National Commission on Intermodal Transportation,national-commission-on-intermodal-transportation,49 CFR,National Commission on Intermodal Transportation,False,7,True,,2025-08-07T15:17:21.097701
National Commission on the Cost of Higher Education,national-commission-on-the-cost-of-higher-education,12 CFR,National Commission on the Cost of Higher Education,False,16,True,,2025-08-07T15:17:21.097704
National Consumer Cooperative Bank,national-consumer-cooperative-bank,12 CFR,National Consumer Cooperative Bank,True,4,True,,2025-08-07T15:17:21.097708
National Council on Disability,national-council-on-disability,21 CFR,National Council on Disability,False,64,True,,2025-08-07T15:17:21.097711
National Crime Prevention and Privacy Compact Council,national-crime-prevention-and-privacy-compact-council,17 CFR,National Crime Prevention and Privacy Compact Council,True,64,True,,2025-08-07T15:17:21.097715
National Economic Council,national-economic-council,12 CFR,National Economic Council,True,16,True,,2025-08-07T15:17:21.097719
National Education Goals Panel,national-education-goals-panel,34 CFR,National Education Goals Panel,False,52,True,,2025-08-07T15:17:21.097722
National Highway Traffic Safety Administration,national-highway-traffic-safety-administration,17 CFR,National Highway Traffic Safety Administration,True,64,True,,2025-08-07T15:17:21.097725
National Institute for Literacy,national-institute-for-literacy,17 CFR,National Institute for Literacy,True,64,True,,2025-08-07T15:17:21.097729
National Institute of Food and Agriculture,national-institute-of-food-and-agriculture,10 CFR,National Institute of Food and Agriculture,False,64,True,,2025-08-07T15:17:21.097733
National Institute of Standards and Technology,national-institute-of-standards-and-technology,29 CFR,National Institute of Standards and Technology,True,64,True,,2025-08-07T15:17:21.097736
National Institutes of Health,national-institutes-of-health,29 CFR,Health and Human Services Department,True,64,True,,2025-08-07T15:17:21.097739
National Labor Relations Board,national-labor-relations-board,10 CFR,National Labor Relations Board,True,64,True,,2025-08-07T15:17:21.097743
National Library of Medicine,national-library-of-medicine,21 CFR,National Library of Medicine,True,10,True,,2025-08-07T15:17:21.097746
National Mediation Board,national-mediation-board,12 CFR,National Mediation Board,True,64,True,,2025-08-07T15:17:21.097750
National Nuclear Security Administration,national-nuclear-security-administration,10 CFR,National Nuclear Security Administration,True,64,True,,2025-08-07T15:17:21.097754
National Oceanic and Atmospheric Administration,national-oceanic-and-atmospheric-administration,40 CFR,National Oceanic and Atmospheric Administration,True,64,True,,2025-08-07T15:17:21.097758
National Park Service,national-park-service,34 CFR,National Park Service,True,64,True,,2025-08-07T15:17:21.097762
National Partnership for Reinventing Government,national-partnership-for-reinventing-government,29 CFR,National Partnership for Reinventing Government,True,13,True,,2025-08-07T15:17:21.097765
National Railroad Passenger Corporation,national-railroad-passenger-corporation,49 CFR,National Railroad Passenger Corporation,True,19,True,,2025-08-07T15:17:21.097769
National Science Foundation,national-science-foundation,21 CFR,National Science Foundation,True,64,True,,2025-08-07T15:17:21.097772
National Security Agency/Central Security Service,national-security-agency-central-security-service,40 CFR,National Security Agency/Central Security Service,True,34,True,,2025-08-07T15:17:21.097776
National Skill Standards Board,national-skill-standards-board,29 CFR,National Skill Standards Board,True,64,True,,2025-08-07T15:17:21.097779
National Technical Information Service,national-technical-information-service,40 CFR,National Technical Information Service,True,64,True,,2025-08-07T15:17:21.097783
National Telecommunications and Information Administration,national-telecommunications-and-information-administration,29 CFR,National Telecommunications and Information Administration,True,64,True,,2025-08-07T15:17:21.097787
National Transportation Safety Board,national-transportation-safety-board,49 CFR,National Transportation Safety Board,True,64,True,,2025-08-07T15:17:21.097791
Natural Resources Conservation Service,natural-resources-conservation-service,40 CFR,Natural Resources Conservation Service,True,64,True,,2025-08-07T15:17:21.097794
Natural Resources Revenue Office,natural-resources-revenue-office,10 CFR,Natural Resources Revenue Office,True,64,True,,2025-08-07T15:17:21.097818
Neighborhood Reinvestment Corporation,neighborhood-reinvestment-corporation,12 CFR,Neighborhood Reinvestment Corporation,True,64,True,,2025-08-07T15:17:21.097822
Northeast Dairy Compact Commission,northeast-dairy-compact-commission,7 CFR,Northeast Dairy Compact Commission,False,64,True,,2025-08-07T15:17:21.097825
Northern Border Regional Commission,northern-border-regional-commission,17 CFR,Northern Border Regional Commission,True,13,True,,2025-08-07T15:17:21.097829
Nuclear Energy Office,nuclear-energy-office,40 CFR,Energy Department,True,4,True,,2025-08-07T15:17:21.097832
Nuclear Regulatory Commission,nuclear-regulatory-commission,40 CFR,Nuclear Regulatory Commission,False,64,True,,2025-08-07T15:17:21.097836
Nuclear Waste Technical Review Board,nuclear-waste-technical-review-board,10 CFR,Nuclear Waste Technical Review Board,True,64,True,,2025-08-07T15:17:21.097839
Occupational Safety and Health Administration,occupational-safety-and-health-administration,29 CFR,Health and Human Services Department,True,64,True,,2025-08-07T15:17:21.097843
Occupational Safety and Health Review Commission,occupational-safety-and-health-review-commission,40 CFR,Health and Human Services Department,True,64,True,,2025-08-07T15:17:21.097846
Ocean Energy Management Bureau,ocean-energy-management-bureau,40 CFR,Energy Department,False,64,True,,2025-08-07T15:17:21.097849
"Ocean Energy Management, Regulation, and Enforcement Bureau",ocean-energy-management-regulation-and-enforcement-bureau,40 CFR,Energy Department,True,64,True,,2025-08-07T15:17:21.097853
